S. No.,Power,Scanning speed ,Pulse width,Frequency,Color,R,G,B,L,a,b,Special,,,,,,,,,,,
7,3,867,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
8,3,1011,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
9,3,1155,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
10,3,1300,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
11,6,200,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
12,6,344,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
13,6,489,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
14,6,633,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
15,6,778,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
16,6,922,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
17,6,867,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
18,6,1011,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
19,6,1155,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
20,6,1300,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
21,9,200,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
22,9,344,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
23,9,489,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
24,9,633,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
25,9,778,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
26,9,922,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
27,9,867,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
28,9,1011,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
29,9,1155,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
30,9,1300,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
31,12,200,5,300,Boulder Grey,124,129,125,53.456,-2.66,1.51,grey,,,,,,,,,,,
32,12,344,5,300,Gunsmoke Grey,126,127,121,52.94,-1.55,3.12,grey,,,,,,,,,,,
33,12,489,5,300,Blue Bayoux,99,120,121,50.93,-11.36,-0.05,blue,,,,,,,,,,,
34,12,633,5,300,Bismark Blue,80,105,127,43.27,-3.33,-15.18,blue,,,,,,,,,,,
35,12,778,5,300,Comet Blue,104,102,123,44.05,5.42,-11.42,blue,,,,,,,,,,,
36,12,922,5,300,Empress Grey,127,108,110,47.45,7.84,1.66,grey,,,,,,,,,,,
37,12,867,5,300,Hemp Brown,150,120,110,52.99,10.1,9.91,brown,,,,,,,,,,,
38,12,1011,5,300,Mongoose Brown,169,132,113,58.09,11.02,17.31,brown,,,,,,,,,,,
39,12,1155,5,300,Pale Taupe Grey,181,150,119,64.13,7.04,20.69,grey,,,,,,,,,,,
40,12,1300,5,300,Rdeo Dust Brown,195,166,122,69.67,4.35,26.73,brown,,,,,,,,,,,
41,15,200,5,300,Hoki Blue,91,120,136,48.8,-6.3,12.1,blue,,,,,,,,,,,
42,15,344,5,300,Hoki Blue,93,119,136,48.63,-5.1,-12.34,blue,,,,,,,,,,,
43,15,489,5,300,Blue Bayoux,95,114,129,47.04,-3.36,-10.57,blue,,,,,,,,,,,
44,15,633,5,300,Blue Bayoux,96,112,128,46.49,-2.1,-10.8,blue,,,,,,,,,,,
45,15,778,5,300,Raven Blue,108,112,124,47.27,1.11,-7.14,blue,,,,,,,,,,,
46,15,922,5,300,Empress Grey,125,116,117,49.66,3.66,0.69,grey,,,,,,,,,,,
47,15,867,5,300,Hurricane Brown,138,123,120,52.87,5.21,3.73,brown,,,,,,,,,,,
48,15,1011,5,300,Hemp Brown,146,126,115,54.31,5.81,8.81,brown,,,,,,,,,,,
49,15,1155,5,300,Almond frost brown,156,133,117,57.2,6.16,11.86,brown,,,,,,,,,,,
50,15,1300,5,300,Pale Oyster Brown,159,137,116,58.53,4.96,14.34,brown,,,,,,,,,,,
51,18,200,5,300,Lynch Blue,102,125,139,51.1,-4.93,-10.33,blue,,,,,,,,,,,
52,18,344,5,300,Lynch Blue,101,118,134,48.82,-2.45,-10.83,blue,,,,,,,,,,,
53,18,489,5,300,Blue Bayoux,96,113,129,46.82,-2.44,-10.91,blue,,,,,,,,,,,
54,18,633,5,300,Roven Blue,103,112,127,46.98,0.04,-9.42,blue,,,,,,,,,,,
55,18,778,5,300,Dolphin Violet ,114,114,122,48.28,1.68,-4.41,violet,,,,,,,,,,,
56,18,922,5,300,Hurricane Brown,128,120,118,51.07,2.68,2.19,brown,,,,,,,,,,,
